Format Version,1.23,Take Name,Werikson_IC_Gesto_B,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-02-09 02.21.22.268 ,Total Frames in Take,1595,Total Exported Frames,1595,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Gesture:Head,Gesture:Head,Gesture:Head,Gesture:Left,Gesture:Left,Gesture:Left,Gesture:Right,Gesture:Right,Gesture:Right,Gesture:Teste1,Gesture:Teste1,Gesture:Teste1
,ID,"67186D7C94E311EC6E30FC7E4D48E899","67186D7C94E311EC6E30FC7E4D48E899","67186D7C94E311EC6E30FC7E4D48E899","67186D7E94E311EC6E30FC7E4D48E899","67186D7E94E311EC6E30FC7E4D48E899","67186D7E94E311EC6E30FC7E4D48E899","67186D8094E311EC6E30FC7E4D48E899","67186D8094E311EC6E30FC7E4D48E899","67186D8094E311EC6E30FC7E4D48E899","9B37ADC794E311EC6E30FC7E4D48E899","9B37ADC794E311EC6E30FC7E4D48E899","9B37ADC794E311EC6E30FC7E4D48E899"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
93,0.387500,0.086249,1.705946,-0.118402,0.423106,0.901763,-0.181834,-0.163309,0.899762,-0.241220,,,
94,0.391667,0.086173,1.705919,-0.118359,0.423442,0.902020,-0.181481,-0.163472,0.899792,-0.241094,,,
95,0.395833,0.086118,1.705898,-0.118334,0.423480,0.902053,-0.181428,-0.163987,0.899858,-0.240911,,,
96,0.400000,0.086072,1.705864,-0.118294,0.423540,0.902077,-0.181364,-0.164232,0.899936,-0.240782,,,
97,0.404167,0.086011,1.705829,-0.118261,0.423595,0.902117,-0.181311,-0.164449,0.900136,-0.240558,,,
98,0.408333,0.085948,1.705810,-0.118224,0.423645,0.902144,-0.181267,-0.164699,0.900221,-0.240418,,,
99,0.412500,0.085902,1.705772,-0.118169,0.423699,0.902194,-0.181214,-0.164980,0.900327,-0.239960,,,
100,0.416667,0.085834,1.705750,-0.118134,0.423764,0.902237,-0.181168,-0.165365,0.900663,-0.239829,,,
101,0.420833,0.085811,1.705721,-0.118088,0.423723,0.901974,-0.181463,-0.165620,0.900757,-0.239684,,,
102,0.425000,0.085742,1.705681,-0.118045,0.423768,0.902024,-0.181425,-0.165890,0.900855,-0.239547,,,
103,0.429167,0.085704,1.705651,-0.117997,0.423843,0.902073,-0.181363,-0.166155,0.900930,-0.239432,,,
104,0.433333,0.085680,1.705494,-0.117902,0.423900,0.902112,-0.181328,-0.166549,0.901031,-0.239339,,,
105,0.437500,0.085638,1.705466,-0.117861,0.424000,0.902137,-0.181171,-0.166983,0.901095,-0.239137,,,
106,0.441667,0.085926,1.705376,-0.117959,0.424037,0.902212,-0.181238,-0.167270,0.901188,-0.239019,,,
107,0.445833,0.085878,1.705342,-0.117920,0.424187,0.902194,-0.181112,-0.167572,0.901287,-0.238904,,,
108,0.450000,0.085844,1.705292,-0.117879,0.424258,0.902242,-0.181067,-0.167878,0.901389,-0.238800,,,
109,0.454167,0.085802,1.705246,-0.117828,0.424328,0.902287,-0.181036,-0.168167,0.901480,-0.238670,,,
110,0.458333,0.085063,1.704953,-0.117528,0.424407,0.902338,-0.181000,-0.168403,0.901625,-0.238545,,,
111,0.462500,0.085008,1.704913,-0.117478,0.424482,0.902380,-0.180973,-0.168820,0.901737,-0.238332,,,
112,0.466667,0.084816,1.704546,-0.117431,0.424561,0.902437,-0.180938,-0.169254,0.901856,-0.238238,,,
113,0.470833,0.084776,1.704489,-0.117384,0.424627,0.902462,-0.180910,-0.169502,0.901896,-0.238160,,,
114,0.475000,0.084778,1.704540,-0.117393,0.424717,0.902525,-0.180877,-0.170074,0.902104,-0.238088,,,
115,0.479167,0.084548,1.704193,-0.117239,0.424800,0.902559,-0.180855,-0.170402,0.902207,-0.237979,,,
116,0.483333,0.084496,1.704147,-0.117190,0.424870,0.902607,-0.180836,-0.170731,0.902307,-0.237877,,,
117,0.487500,0.084441,1.704096,-0.117161,0.424961,0.902664,-0.180811,-0.171179,0.902187,-0.237747,,,
118,0.491667,0.084382,1.704054,-0.117111,0.425045,0.902701,-0.180795,-0.171519,0.902299,-0.237645,,,
119,0.495833,0.084197,1.703983,-0.116773,0.425224,0.902812,-0.180878,-0.172116,0.902592,-0.237577,,,
120,0.500000,0.084131,1.703932,-0.116726,0.425590,0.903069,-0.180562,-0.172383,0.902745,-0.237486,,,
121,0.504167,0.084064,1.703868,-0.116686,0.425679,0.903126,-0.180541,-0.172845,0.902866,-0.237301,,,
122,0.508333,0.083988,1.703814,-0.116652,0.425780,0.903182,-0.180532,-0.173158,0.903054,-0.237314,,,
123,0.512500,0.083968,1.703859,-0.116635,0.425874,0.903242,-0.180523,-0.173502,0.903159,-0.237229,,,
124,0.516667,0.083971,1.703739,-0.116574,0.425971,0.903292,-0.180525,-0.173996,0.903237,-0.237082,,,
125,0.520833,0.083884,1.703673,-0.116538,0.426141,0.903550,-0.180726,-0.175639,0.905133,-0.238285,,,
126,0.525000,0.083717,1.703685,-0.116406,0.426489,0.903712,-0.180694,-0.175450,0.904562,-0.237458,,,
127,0.529167,0.083616,1.703613,-0.116379,0.426628,0.903791,-0.180700,-0.175130,0.903594,-0.236902,,,
128,0.533333,0.083569,1.703506,-0.116433,0.426756,0.903863,-0.180700,-0.176143,0.904811,-0.237353,,,
129,0.537500,0.083388,1.703501,-0.116309,0.426898,0.903940,-0.180711,-0.176489,0.904932,-0.237303,,,
130,0.541667,0.083116,1.703169,-0.116298,0.427047,0.904017,-0.180717,-0.176783,0.905121,-0.237262,,,
131,0.545833,0.083005,1.703095,-0.116266,0.427198,0.904082,-0.180743,-0.177126,0.905243,-0.237221,,,
132,0.550000,0.082875,1.703034,-0.116225,0.427366,0.904171,-0.180754,-0.177485,0.905377,-0.237172,,,
133,0.554167,0.082552,1.702863,-0.116149,0.427529,0.904237,-0.180772,-0.178012,0.905564,-0.237145,,,
134,0.558333,0.082421,1.702783,-0.116101,0.427696,0.904301,-0.180795,-0.178370,0.905699,-0.237101,,,
135,0.562500,0.082315,1.702708,-0.116080,0.427880,0.904373,-0.180817,-0.178948,0.905834,-0.236933,,,
136,0.566667,0.081916,1.702636,-0.115857,0.428004,0.904460,-0.180822,-0.179311,0.905962,-0.236899,,,
137,0.570833,0.081763,1.702549,-0.115831,0.428195,0.904523,-0.180853,-0.179038,0.904987,-0.236304,,,
138,0.575000,0.081481,1.702142,-0.115798,0.428386,0.904577,-0.180871,-0.180008,0.906201,-0.236854,,,
139,0.579167,0.081325,1.702064,-0.115774,0.428586,0.904624,-0.180911,-0.180308,0.905990,-0.236702,,,
140,0.583333,0.081235,1.702082,-0.115797,0.429130,0.904843,-0.180998,-0.180204,0.905107,-0.236196,,,
141,0.587500,0.081060,1.702000,-0.115775,0.429342,0.904884,-0.181039,-0.181187,0.906281,-0.236683,,,
142,0.591667,0.080911,1.701923,-0.115760,0.429567,0.904932,-0.181067,-0.181542,0.906397,-0.236663,,,
143,0.595833,0.080749,1.701844,-0.115756,0.429783,0.904955,-0.181118,-0.181920,0.906528,-0.236659,,,
144,0.600000,0.080715,1.701884,-0.115764,0.430012,0.905002,-0.181160,-0.182277,0.906646,-0.236650,,,
145,0.604167,0.080555,1.701844,-0.115741,0.430509,0.905256,-0.180913,-0.182822,0.907027,-0.236795,,,
146,0.608333,0.080103,1.701860,-0.115765,0.430817,0.905196,-0.180969,-0.183392,0.907146,-0.236663,,,
147,0.612500,0.079958,1.701812,-0.115760,0.431058,0.905237,-0.181027,-0.183736,0.907274,-0.236678,,,
148,0.616667,0.079485,1.701154,-0.115833,0.431293,0.905273,-0.181095,-0.185041,0.908129,-0.237529,,,
149,0.620833,0.079322,1.701101,-0.115851,0.431505,0.905370,-0.181054,-0.185344,0.908301,-0.237645,,,
150,0.625000,0.079187,1.701047,-0.115813,0.431758,0.905410,-0.181128,-0.184930,0.907775,-0.236898,,,
151,0.629167,0.079003,1.701002,-0.115836,0.432394,0.905814,-0.180890,-0.185204,0.907942,-0.236929,,,
152,0.633333,0.078952,1.700881,-0.115825,0.432651,0.905848,-0.180970,-0.185563,0.908057,-0.236981,,,
153,0.637500,0.078788,1.700845,-0.115830,0.433013,0.905940,-0.181145,-0.185905,0.908177,-0.237008,,,
154,0.641667,0.078384,1.700788,-0.115651,0.433259,0.905957,-0.181241,-0.186242,0.908281,-0.237057,,,
155,0.645833,0.077843,1.700816,-0.115989,0.433556,0.905908,-0.181700,-0.186589,0.908401,-0.237107,,,
